time,open,high,low,close,Volume,Volume
1611367200,1307.3,1319.96,1286.23,1307.77,389929,1446423.2
1611374400,1305.84,1346.32,1304.88,1342.59,496702,1314420.2
1611381600,1341.94,1350,1327.47,1338.71,634054,1226531.65
1611388800,1341.31,1355.28,1327.94,1336.41,777395,1165341.6
1611396000,1336.82,1338.6,1282.93,1289.77,1089164,1177405.95
1611403200,1289.47,1315.6,1264.28,1306.54,751698,1149668.5
1611410400,1307.68,1315.99,1290,1305.74,381171,1046995.3
1611417600,1305.96,1340.51,1298.31,1332.81,337340,856590.95
1611424800,1332.72,1343.91,1322.67,1338.4,463137,796936.65
1611432000,1338.69,1340.4,1306.01,1328.63,752689,751363.5
1611439200,1329.54,1330.24,1300.75,1309.44,611741,726755
1611446400,1310.86,1328.01,1294.85,1314.97,858762,702611.5
1611453600,1315.4,1381.99,1311.2,1381.3,1008849,670057.25
1611460800,1381.33,1425.78,1378.36,1417.13,1077507,686201.8
1611468000,1417.89,1424.98,1390.89,1401.05,653985,674344.35
1611475200,1402.47,1436.14,1395.23,1428.77,627728,663559.15
1611482400,1431.3,1439.57,1412.07,1430.55,602205,662408.4
1611489600,1431.26,1436.4,1394.6,1404.92,1240104,700139
1611496800,1403.7,1412.66,1377.11,1401.32,716778,712373
1611504000,1401.9,1449.34,1381.93,1441.08,852132,716153.5
1611511200,1440.52,1443.75,1388.56,1406.83,685427,730928.4
1611518400,1406.64,1438.99,1405.88,1437.28,469620,729574.3
1611525600,1435.88,1490.29,1427.27,1483.3,818993,738821.25
1611532800,1483.95,1584.37,1475.09,1541.05,3299828,864942.9
1611540000,1540.16,1550,1523,1530.13,1173384,869153.9
1611547200,1530.54,1544,1494.2,1543.82,1214184,892278.2
1611554400,1544.3,1549,1499.21,1523.78,1057169,926078.1
1611561600,1525.67,1528.52,1475.22,1485.23,846078,951515
1611568800,1484.12,1521.73,1471.14,1510.18,778217,967269
1611576000,1510.19,1549.34,1501.08,1519.17,1109963,985132.7
1611583200,1521,1541.31,1499,1537.07,865807,997836
1611590400,1537.7,1546.23,1480.36,1491.04,1085545,1009175.15
1611597600,1490.74,1497.6,1440.12,1472.47,1474699,1032467.65
1611604800,1471.63,1472.6,1392.51,1431.26,1686683,1062926.45
1611612000,1431.98,1432.08,1370.03,1393.73,1856071,1123030.75
1611619200,1392.31,1461,1378.37,1460.9,880338,1135661.25
1611626400,1460.33,1460.33,1362.52,1381.85,1156479,1163374.95
1611633600,1381.77,1422.55,1379.77,1410.54,847526,1143746.05
1611640800,1411.11,1411.11,1362.77,1384,1124294,1164121.85
1611648000,1384.48,1401.72,1356,1380.88,825746,1162802.55
1611655200,1381.88,1416.8,1376.75,1380.93,937979,1175430.15
1611662400,1379.79,1388.17,1314.09,1348.45,2591870,1281542.65
1611669600,1348.66,1356.78,1301.01,1345.54,1799323,1330559.15
1611676800,1345.06,1398.23,1329.06,1397.73,1603824,1245758.95
1611684000,1397.84,1422.6,1384.63,1408.81,937344,1233956.95
1611691200,1409.36,1432.79,1396.53,1401.12,1257580,1236126.75
1611698400,1401.19,1449.06,1391.96,1438.44,910604,1228798.5
1611705600,1438.03,1446.72,1379.21,1385.1,1018772,1237433.2
1611712800,1384.66,1397.14,1361.3,1373.33,566971,1226870.9
1611720000,1372.44,1381.68,1328.98,1339.87,1084655,1225605.5
1611727200,1339.91,1369.98,1333.15,1348.81,543962,1209513.25
1611734400,1348.34,1348.34,1297.64,1321.46,1240751,1217273.55
1611741600,1320.42,1356.33,1293,1294.63,1154925,1201284.85
1611748800,1295,1328.9,1280.87,1281.4,1346380,1184269.7
1611756000,1280.48,1340.95,1250,1334.6,1833969,1183164.6
1611763200,1334.63,1367.58,1291.2,1309.29,2246197,1251457.55
1611770400,1308.92,1330.7,1270.01,1319.65,1508777,1269072.45
1611777600,1319.62,1351.56,1308.58,1327.88,1247168,1289054.55
1611784800,1328.69,1338.05,1284.68,1289.15,736572,1269668.45
1611792000,1289.41,1319.07,1265.71,1317.63,1207691,1288765.7
1611799200,1318.01,1349.43,1316.7,1345.62,684467,1276090.1
1611806400,1345.93,1363.1,1325.04,1361.15,310964,1162044.8
1611813600,1360.83,1387.3,1337.22,1344.06,644803,1104318.8
1611820800,1343.88,1362.12,1318.7,1361.27,490175,1048636.35
1611828000,1360.64,1371.51,1334.64,1362.07,1115086,1057523.45
1611835200,1361.82,1409.79,1352.17,1409.33,956361,1042462.5
1611842400,1409.64,1429.97,1398.95,1421.73,1439787,1068921.65
1611849600,1421.94,1430.23,1398,1406.85,737452,1054855.65
1611856800,1408.66,1416.73,1390,1403.27,386024,1045808.3
1611864000,1402.73,1422.25,1394.62,1420.3,409864,1012068.75
1611871200,1420.07,1433.2,1393.49,1397.55,645413,1017141.3
1611878400,1398.61,1453.66,1397.29,1420.44,1087920,1009499.75
1611885600,1420.33,1429.8,1380.04,1393.49,778928,990699.9
1611892800,1393.49,1399.21,1351.73,1372.85,1242175,985489.65
1611900000,1372.91,1391.25,1360.11,1387.56,757911,931686.75
1611907200,1386.77,1496.4,1363.98,1463.9,7458183,1192286.05
